,VENUE AMENITIES
1,Ablution Facilities
2,Accommodation / Guest Rooms
3,Air-conditioning
4,AV Connectivity
5,Baby Changing Facilities
6,Balcony / Stoep / Terrace
7,Bar / Drinks Station
8,Board Room Table & Chairs
9,Braai Area
10,Bridal / Groom Suite
11,Tables & Chairs Available
12,Changing/Cloak Rooms
13,Chappel
14,Cleaning Services Available
15,Cutlery & Crockery Available
16,Dance floor
17,Generator & Back Up Power
19,Flexible with special requests
20,Free Parking
21,Full-Service Staffing
22,Gardens
23,Green Room
24,Halaal
25,Heating System
26,High ceilings
27,Indoor & Outdoor Mix Space
28,Indoor Only Space
29,Kitchen - Basins & Prep Tables
30,Kitchen - Full Amenities
31,LED Screen
32,Ambiant Lighting
33,Linen & Tablecloths Available
34,Loading / Unloading Area
35,Lounge & Networking Zones
37,Marquee / Tent / Gazebo Spaces
38,Multiple Hall Options at Venue
39,Natural lighting 
40,Nature Setting
41,On Site Venue Manager
42,On-Site Catering
43,Open Fields
44,Open indoor/outdoor spaces
45,Outdoor Only Space
46,Package Deal Options
48,Petting Zoo / Animal Park
49,Pickup/Drop Off Zone
50,Kids Play areas
51,Plug Points / Charging Ports
52,Podium Available
53,Security Guards
53,Swimming Pool
54,Salaah Prayer Facilities
55,Projectors
56,Digital White Boards
56,Refrigerator / Cooler Room
57,Restrooms / Toilets
58,Scenic Views
59,Secure Parking
60,Gated Access
61,Sound & Mic system
62,Stage Available
63,Storage Space
64,Water Features/Fountains
65,Wheel Chair Accessable
66,WiFi - high speed
67,Audio Visual Recording Equipment Available
68,Meeting Rooms
69,Hybrid Audio Visual Equipment
70,
